Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	species
1	Spectrogram 1	1	2.071073830	4.184997464	2632.836	15895.746	BANAS
2	Spectrogram 1	1	4.984860461	7.355882915	2632.836	15764.104	BANAS
3	Spectrogram 1	1	8.712793356	11.083815810	2336.642	16784.328	BANAS
4	Spectrogram 1	1	13.926186101	16.240075484	2270.821	15862.836	BANAS
5	Spectrogram 1	1	16.848268817	19.419257020	3126.493	15862.836	BANAS
6	Spectrogram 1	1	19.862038322	22.433026525	2961.940	15994.478	BANAS
7	Spectrogram 1	1	25.475043797	28.460246766	2863.209	18890.597	BANAS
9	Spectrogram 1	1	32.716660569	34.773451132	2534.104	19120.970	BANAS
10	Spectrogram 1	1	35.479224138	37.550297969	5496.045	14612.239	BANAS
11	Spectrogram 1	1	40.592634009	43.477854104	5463.134	12966.716	BANAS
12	Spectrogram 1	1	45.996627834	47.924868987	3323.955	19055.149	BANAS
13	Spectrogram 1	1	50.581556797	52.352682004	2896.119	19943.731	BANAS
14	Spectrogram 1	1	54.987694033	58.001463538	1480.970	21325.970	BANAS
15	Spectrogram 1	1	60.672434616	63.086306873	1316.418	21293.060	BANAS
