Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Spectrogram 1	1	1.421029235	2.754030111	952.484	5476.782	CMTO
2	Spectrogram 1	1	4.388842506	5.960777501	833.423	5572.030	CMTO
3	Spectrogram 1	1	6.614702459	7.419533176	833.423	5643.467	CMTO
4	Spectrogram 1	1	7.771646615	8.576477332	1142.981	5524.406	CMTO
5	Spectrogram 1	1	8.651930212	9.356157090	666.739	5524.406	CMTO
6	Spectrogram 1	1	10.840063725	11.456262243	904.860	5452.970	CMTO
7	Spectrogram 1	1	14.747459310	15.577440987	785.799	5357.721	CMTO
8	Spectrogram 1	1	19.287207576	19.903406094	857.235	5524.406	CMTO
9	Spectrogram 1	1	22.809639269	23.539017107	666.739	5548.218	CMTO
10	Spectrogram 1	1	26.557132297	27.361963015	833.423	5857.775	CMTO
11	Spectrogram 1	1	28.091340852	28.908747050	976.296	4929.104	CMTO
12	Spectrogram 1	1	29.807321679	30.134284158	452.430	5333.909	CMTO
13	Spectrogram 1	1	30.159435118	30.851086515	523.866	5500.594	CMTO
14	Spectrogram 1	1	31.001992275	31.794247512	690.551	4857.667	CMTO
15	Spectrogram 1	1	34.095560345	34.636305983	642.927	5476.782	CMTO
16	Spectrogram 1	1	34.611155023	35.390834781	976.296	5667.279	CMTO
17	Spectrogram 1	1	35.642344380	36.321420298	1071.544	5476.782	CMTO
